################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.4376487915415092E-01 a       436     0    28     1     4
 -2.7483365273792576E-01 a       437     0    28     1     5
 -7.9545348614635569E-01 a       438     0    28     1     6
 -1.4809688109480608E+00 a       439     0    28     1     7
 -1.9764204450312499E+00 a       440     0    28     1     8
 -2.8863547375575562E+00 a       441     0    28     1     9
  1.3123426425199471E+00 a       442     0    28     1    10
 -4.1174260800784340E-01 a       443     0    28     1    11
  5.4554729189209077E+00 a       444     0    28     1    12
 -3.5680469192614521E+00 a       445     0    28     1    13
 -8.5965685752540981E+00 a       446     0    28     1    14
  5.6304800931985077E-01 a       447     0    28     1    15
 -2.8905781869256995E+00 a       448     0    28     1    16
  1.1349631519562282E+00 a       449     0    29     1     1
 -7.7887911082840908E+00 a       450     0    29     1     2
 -1.0464182618870163E+01 a       451     0    29     1     3
 -4.3559754415635190E+00 a       452     0    29     1     4
  7.8929497411728606E+00 a       453     0    29     1     5
  1.8843387161588976E+00 a       454     0    29     1     6
 -1.1266882982343500E+01 a       455     0    29     1     7
 -6.2218202607414481E+00 a       456     0    29     1     8
 -3.6525652485970608E+00 a       457     0    29     1     9
  6.2134207229349281E+00 a       458     0    29     1    10
  1.0251403825807832E+00 a       459     0    29     1    11
  4.0276187568804422E+00 a       460     0    29     1    12
 -8.3481845592386197E+00 a       461     0    29     1    13
 -4.9289370034527673E+00 a       462     0    29     1    14
 -5.4705552392337795E+00 a       463     0    29     1    15
 -7.4234554459635902E+00 a       464     0    29     1    16
 -7.8306431059694659E-01 a       465     0    30     1     1
 -6.8985890649617199E+00 a       466     0    30     1     2
 -4.3570287932545808E+00 a       467     0    30     1     3
 -1.3529633759126781E+01 a       468     0    30     1     4
 -3.6410917891040212E-01 a       469     0    30     1     5
 -4.3779603383429393E+00 a       470     0    30     1     6
  4.1459332467957450E+00 a       471     0    30     1     7
 -9.9040432099788411E+00 a       472     0    30     1     8
 -6.8256804723639890E+00 a       473     0    30     1     9
 -3.4387668090610473E+00 a       474     0    30     1    10
  3.1035938838903281E+00 a       475     0    30     1    11
